date,P,ETpot
20360101,0.02,0.17
20360102,0.31,0.18
20360103,0.24,0.13
20360104,0.55,0.18
20360105,0.00,0.27
20360106,0.04,0.31
20360107,2.10,0.10
20360108,2.64,0.12
20360109,0.43,0.16
20360110,0.14,0.25
20360111,0.09,0.18
20360112,1.71,0.21
20360113,0.01,0.30
20360114,0.00,0.23
20360115,0.01,0.25
20360116,0.04,0.23
20360117,3.51,0.23
20360118,3.24,0.33
20360119,0.36,0.34
20360120,0.50,0.37
20360121,2.98,0.38
20360122,0.01,0.30
20360123,0.01,0.39
20360124,0.29,0.35
20360125,1.44,0.45
20360126,2.84,0.30
20360127,0.32,0.50
20360128,0.00,0.56
20360129,0.45,0.25
20360130,0.00,0.53
20360131,0.00,0.49
20360201,1.29,0.26
20360202,4.56,0.49
20360203,2.97,0.59
20360204,4.85,0.23
20360205,9.87,0.15
20360206,0.34,0.49
20360207,3.81,0.28
20360208,1.50,0.46
20360209,0.12,0.49
20360210,0.00,0.50
20360211,0.00,0.45
20360212,0.00,0.26
20360213,0.00,0.43
20360214,0.00,0.51
20360215,0.00,0.71
20360216,0.00,0.91
20360217,0.02,0.24
20360218,0.07,0.24
20360219,1.64,0.23
20360220,0.42,0.30
20360221,0.32,0.25
20360222,0.01,0.35
20360223,0.00,1.13
20360224,0.00,1.25
20360225,0.00,1.35
20360226,0.00,1.38
20360227,0.00,1.37
20360228,7.38,0.37
20360229,2.63,0.24
20360301,0.37,0.35
20360302,0.42,0.36
20360303,7.32,0.22
20360304,0.13,1.66
20360305,0.05,0.67
20360306,0.08,0.56
20360307,8.47,0.23
20360308,0.00,1.35
20360309,0.11,1.08
20360310,0.04,1.39
20360311,0.20,1.28
20360312,0.03,1.68
20360313,0.00,1.41
20360314,12.63,0.60
20360315,0.14,0.57
20360316,0.00,1.15
20360317,11.20,0.36
20360318,2.86,1.53
20360319,0.28,2.13
20360320,0.58,0.96
20360321,5.23,0.44
20360322,9.76,0.57
20360323,3.09,1.79
20360324,15.36,1.14
20360325,0.70,1.20
20360326,0.30,0.72
20360327,0.61,0.94
20360328,1.18,2.18
20360329,11.41,1.84
20360330,3.29,0.73
20360331,0.00,1.60
20360401,0.00,1.33
20360402,0.00,2.48
20360403,0.00,2.77
20360404,0.00,2.94
20360405,0.00,2.38
20360406,2.01,2.51
20360407,2.94,1.41
20360408,0.03,2.04
20360409,0.00,1.55
20360410,0.00,2.97
20360411,2.09,1.25
20360412,0.54,2.19
20360413,0.47,1.41
20360414,5.01,1.63
20360415,13.52,0.66
20360416,9.87,0.59
20360417,0.04,1.40
20360418,1.29,0.74
20360419,7.53,1.04
20360420,0.02,1.35
20360421,0.00,2.05
20360422,2.59,1.57
20360423,4.32,1.16
20360424,1.39,2.49
20360425,1.33,2.91
20360426,0.00,3.71
20360427,0.00,4.04
20360428,0.00,4.13
20360429,0.00,4.20
20360430,0.00,4.23
20360501,0.00,4.14
20360502,0.00,2.86
20360503,0.20,2.12
20360504,0.24,1.82
20360505,0.60,1.72
20360506,2.00,1.24
20360507,1.86,2.09
20360508,0.00,2.54
20360509,0.00,3.50
20360510,0.00,4.32
20360511,0.00,4.45
20360512,0.00,4.31
20360513,0.00,3.76
20360514,0.00,4.32
20360515,0.00,4.61
20360516,0.00,3.20
20360517,0.00,4.69
20360518,0.00,5.21
20360519,0.00,5.15
20360520,0.00,3.85
20360521,0.00,4.26
20360522,12.01,2.58
20360523,0.73,3.08
20360524,0.20,3.76
20360525,0.01,2.63
20360526,0.00,4.24
20360527,0.00,3.80
20360528,0.00,2.39
20360529,0.00,3.26
20360530,0.00,3.88
20360531,0.02,3.83
20360601,0.00,5.09
20360602,0.00,3.88
20360603,11.31,3.27
20360604,0.21,2.39
20360605,0.00,4.63
20360606,0.00,4.46
20360607,0.25,2.77
20360608,2.80,3.61
20360609,0.00,4.97
20360610,1.14,1.40
20360611,1.96,4.44
20360612,3.26,1.85
20360613,0.01,2.55
20360614,0.00,4.75
20360615,13.57,3.44
20360616,2.46,2.18
20360617,1.08,1.22
20360618,1.04,3.07
20360619,0.00,3.22
20360620,0.01,3.59
20360621,1.88,2.16
20360622,0.30,1.62
20360623,0.16,3.29
20360624,0.00,5.21
20360625,4.58,4.38
20360626,0.18,4.16
20360627,1.48,3.75
20360628,0.66,1.37
20360629,0.03,3.30
20360630,0.00,4.31
20360701,0.00,4.35
20360702,0.00,5.57
20360703,0.00,5.83
20360704,0.00,5.86
20360705,0.00,6.03
20360706,0.00,6.13
20360707,0.00,5.84
20360708,0.00,5.52
20360709,0.00,5.46
20360710,0.00,5.81
20360711,0.00,5.90
20360712,0.28,5.25
20360713,0.00,5.63
20360714,2.35,5.29
20360715,0.00,5.55
20360716,0.00,5.66
20360717,0.27,5.24
