date,P,ETpot
20360101,0.08,0.23
20360102,2.90,0.15
20360103,0.79,0.12
20360104,0.04,0.19
20360105,0.14,0.22
20360106,0.03,0.13
20360107,0.01,0.22
20360108,0.00,0.33
20360109,2.48,0.16
20360110,0.34,0.18
20360111,0.01,0.32
20360112,0.02,0.17
20360113,0.01,0.27
20360114,0.05,0.22
20360115,0.00,0.39
20360116,0.02,0.20
20360117,2.58,0.18
20360118,5.40,0.24
20360119,22.07,0.09
20360120,3.72,0.20
20360121,10.01,0.13
20360122,3.31,0.38
20360123,3.83,0.23
20360124,0.00,0.44
20360125,0.00,0.45
20360126,0.01,0.42
20360127,0.41,0.28
20360128,0.10,0.32
20360129,0.02,0.40
20360130,8.98,0.11
20360131,1.48,0.20
20360201,0.14,0.19
20360202,1.53,0.21
20360203,0.02,0.26
20360204,0.11,0.38
20360205,0.33,0.24
20360206,0.47,0.33
20360207,1.92,0.36
20360208,0.00,0.80
20360209,0.00,0.91
20360210,0.00,0.81
20360211,0.00,0.80
20360212,3.00,0.21
20360213,0.00,0.61
20360214,0.00,0.57
20360215,4.36,0.19
20360216,0.08,0.45
20360217,0.00,0.81
20360218,0.00,0.75
20360219,6.72,0.77
20360220,9.27,0.30
20360221,0.44,0.79
20360222,0.00,0.66
20360223,0.01,0.51
20360224,0.00,1.12
20360225,1.47,0.63
20360226,0.73,0.43
20360227,8.05,0.23
20360228,2.91,0.52
20360229,0.01,1.50
20360301,0.18,0.58
20360302,2.43,0.98
20360303,11.27,0.41
20360304,0.20,0.60
20360305,4.19,1.09
20360306,5.85,0.39
20360307,0.65,0.62
20360308,1.52,0.74
20360309,6.92,0.37
20360310,1.15,0.34
20360311,0.14,0.94
20360312,2.14,1.17
20360313,0.00,0.79
20360314,0.43,1.87
20360315,2.95,1.04
20360316,2.07,1.16
20360317,0.00,1.91
20360318,4.61,0.98
20360319,3.33,1.31
20360320,0.52,0.92
20360321,5.75,0.75
20360322,0.09,0.93
20360323,0.05,1.87
20360324,1.45,1.68
20360325,0.00,1.53
20360326,0.00,1.69
20360327,0.00,2.70
20360328,0.00,2.02
20360329,0.01,2.75
20360330,1.82,0.88
20360331,0.09,1.73
20360401,0.00,3.24
20360402,0.89,2.42
20360403,0.00,1.40
20360404,0.01,1.81
20360405,0.00,2.78
20360406,0.00,3.03
20360407,0.00,3.27
20360408,0.00,3.37
20360409,0.00,2.71
20360410,0.00,3.39
20360411,0.00,3.42
20360412,0.00,3.50
20360413,0.00,3.20
20360414,0.00,3.47
20360415,0.00,3.09
20360416,0.00,3.20
20360417,0.00,3.22
20360418,0.00,2.32
20360419,0.00,3.57
20360420,4.00,1.20
20360421,0.09,1.19
20360422,0.01,1.23
20360423,0.00,2.66
20360424,0.00,2.50
