date,P,GW1,GW2,GW3,GW4,GW5,Mean,10th_percentile,90th_percentile
01/01/2010,0.1,1123,678,1241,,,1014.0,767.0,1217.4
02/01/2010,3.8,1152,717,1245,,,1038.0,804.0,1226.4
03/01/2010,0.9,1159,727,1236,,,1040.6666666666667,813.4,1220.6
04/01/2010,0.4,1175,742,1240,,,1052.3333333333333,828.6,1227.0
05/01/2010,0.7,1207,763,1254,,,1074.6666666666667,851.8,1244.6
06/01/2010,0.0,1249,798,1273,,,1106.6666666666667,888.2,1268.2
07/01/2010,0.0,1276,827,1285,,,1129.3333333333333,916.8,1283.2
08/01/2010,0.1,1274,837,1281,,,1130.6666666666667,924.4,1279.6
09/01/2010,2.5,1285,846,1282,,,1137.6666666666667,933.2,1284.4
10/01/2010,1.9,1279,847,1280,,,1135.3333333333333,933.4,1279.8
11/01/2010,0.1,1260,832,1271,,,1121.0,917.6,1268.8
12/01/2010,0.6,1280,828,1271,,,1126.3333333333333,916.6,1278.2
13/01/2010,0.1,1308,855,1283,,,1148.6666666666667,940.6,1303.0
14/01/2010,0.0,1311,866,1278,,,1151.6666666666667,948.4,1304.4
15/01/2010,0.0,1199,811,1255,,,1088.3333333333333,888.6,1243.8
16/01/2010,5.2,1042,687,1235,,,988.0,758.0,1196.4
17/01/2010,2.6,978,564,1174,,,905.3333333333334,646.8,1134.8
18/01/2010,0.4,1019,572,1196,,,929.0,661.4,1160.6
19/01/2010,1.1,1062,607,1221,,,963.3333333333334,698.0,1189.2
20/01/2010,0.0,1143,667,1242,,,1017.3333333333334,762.2,1222.2
21/01/2010,0.0,1188,706,1247,,,1047.0,802.4,1235.2
22/01/2010,0.0,1221,736,1251,,,1069.3333333333333,833.0,1245.0
23/01/2010,0.0,1246,767,1260,,,1091.0,862.8,1257.2
24/01/2010,0.1,1287,799,1267,,,1117.6666666666667,892.6,1283.0
25/01/2010,0.1,1346,835,1283,,,1154.6666666666667,924.6,1333.4
26/01/2010,0.0,1327,824,1253,,,1134.6666666666667,909.8,1312.2
27/01/2010,2.2,1309,815,1248,,,1124.0,901.6,1296.8
28/01/2010,4.9,1185,738,1235,,,1052.6666666666667,827.4,1225.0
29/01/2010,6.0,1162,734,1248,,,1048.0,819.6,1230.8
30/01/2010,2.3,1210,778,1254,,,1080.6666666666667,864.4,1245.2
31/01/2010,1.8,1239,806,1257,,,1100.6666666666667,892.6,1253.4
01/02/2010,0.4,1162,731,1228,,,1040.3333333333333,817.2,1214.8
02/02/2010,13.8,933,547,1172,,,884.0,624.2,1124.2
03/02/2010,0.5,905,519,1173,,,865.6666666666666,596.2,1119.4
04/02/2010,2.6,942,525,1198,,,888.3333333333334,608.4,1146.8
05/02/2010,2.9,956,517,1196,,,889.6666666666666,604.8,1148.0
06/02/2010,0.0,1020,576,1219,,,938.3333333333334,664.8,1179.2
07/02/2010,0.0,1076,615,1232,,,974.3333333333334,707.2,1200.8
08/02/2010,0.0,1158,667,1247,,,1024.0,765.2,1229.2
09/02/2010,0.0,1232,722,1259,,,1071.0,824.0,1253.6
10/02/2010,0.3,1277,766,1268,,,1103.6666666666667,866.4,1275.2
11/02/2010,0.1,1312,797,1271,,,1126.6666666666667,891.8,1303.8
12/02/2010,0.0,1331,821,1268,,,1140.0,910.4,1318.4
13/02/2010,0.7,1346,840,1271,,,1152.3333333333333,926.2,1331.0
14/02/2010,0.3,1352,854,1267,,,1157.6666666666667,936.6,1335.0
15/02/2010,0.1,1369,868,1268,,,1168.3333333333333,948.0,1348.8
16/02/2010,0.1,1380,880,1271,,,1177.0,958.2,1358.2
17/02/2010,0.0,1393,893,1266,,,1184.0,967.6,1367.6
18/02/2010,0.2,1349,892,1258,,,1166.3333333333333,965.2,1330.8
19/02/2010,0.2,1323,892,1258,,,1157.6666666666667,965.2,1310.0
20/02/2010,0.4,1318,890,1258,,,1155.3333333333333,963.6,1306.0
21/02/2010,0.0,1258,844,1246,,,1116.0,924.4,1255.6
22/02/2010,12.7,1014,659,1198,,,957.0,730.0,1161.2
23/02/2010,1.3,1049,642,1209,,,966.6666666666666,723.4,1177.0
24/02/2010,3.5,1009,594,1193,,,932.0,677.0,1156.2
25/02/2010,6.1,968,549,1188,,,901.6666666666666,632.8,1144.0
26/02/2010,3.9,1006,583,1203,,,930.6666666666666,667.6,1163.6
27/02/2010,0.7,961,540,1198,,,899.6666666666666,624.2,1150.6
28/02/2010,12.7,889,440,1154,,,827.6666666666666,529.8,1101.0
01/03/2010,1.6,1004,528,1203,,,911.6666666666666,623.2,1163.2
02/03/2010,0.1,1072,591,1222,,,961.6666666666666,687.2,1192.0
03/03/2010,0.0,1128,634,1234,,,998.6666666666666,732.8,1212.8
04/03/2010,0.0,1145,646,1229,,,1006.6666666666666,745.8,1212.2
05/03/2010,7.0,987,571,1226,,,928.0,654.2,1178.2
06/03/2010,0.1,1117,650,1235,,,1000.6666666666666,743.4,1211.4
07/03/2010,0.0,1151,676,1235,,,1020.6666666666666,771.0,1218.2
08/03/2010,2.0,1184,704,1242,,,1043.3333333333333,800.0,1230.4
09/03/2010,0.0,1209,720,1242,,,1057.0,817.8,1235.4
10/03/2010,0.0,1219,729,1243,,,1063.6666666666667,827.0,1238.2
11/03/2010,0.0,1241,742,1243,,,1075.3333333333333,841.8,1242.6
12/03/2010,0.0,1268,760,1246,,,1091.3333333333333,857.2,1263.6
13/03/2010,0.7,1259,760,1240,,,1086.3333333333333,856.0,1255.2
14/03/2010,1.9,1238,740,1237,,,1071.6666666666667,839.4,1237.8
15/03/2010,6.4,1128,641,1228,,,999.0,738.4,1208.0
16/03/2010,0.0,1185,665,1231,,,1027.0,769.0,1221.8
17/03/2010,0.0,1240,705,1240,,,1061.6666666666667,812.0,1240.0
18/03/2010,0.0,1269,729,1245,,,1081.0,832.2,1264.2
19/03/2010,0.3,1167,700,1233,,,1033.3333333333333,793.4,1219.8
20/03/2010,10.5,961,531,1183,,,891.6666666666666,617.0,1138.6
21/03/2010,7.3,1028,565,1197,,,930.0,657.6,1163.2
22/03/2010,0.0,1108,621,1220,,,983.0,718.4,1197.6
23/03/2010,0.0,1163,657,1234,,,1018.0,758.2,1219.8
24/03/2010,0.0,1216,689,1240,,,1048.3333333333333,794.4,1235.2
25/03/2010,0.0,1225,706,1243,,,1058.0,809.8,1239.4
26/03/2010,5.2,1184,673,1234,,,1030.3333333333333,775.2,1224.0
27/03/2010,0.0,1238,695,1239,,,1057.3333333333333,803.6,1238.8
28/03/2010,1.0,1190,689,1238,,,1039.0,789.2,1228.4
29/03/2010,4.2,1207,682,1238,,,1042.3333333333333,787.0,1231.8
30/03/2010,0.4,1293,736,1252,,,1093.6666666666667,839.2,1284.8
31/03/2010,0.7,1307,777,1257,,,1113.6666666666667,873.0,1297.0
01/04/2010,2.3,1321,799,1257,,,1125.6666666666667,890.6,1308.2
02/04/2010,0.4,1328,804,1262,,,1131.3333333333333,895.6,1314.8
03/04/2010,5.8,1125,723,1252,,,1033.3333333333333,803.4,1226.6
04/04/2010,4.4,1145,728,1254,,,1042.3333333333333,811.4,1232.2
05/04/2010,0.0,1225,753,1258,,,1078.6666666666667,847.4,1251.4
06/04/2010,0.0,1278,782,1267,,,1109.0,879.0,1275.8
07/04/2010,0.1,1328,812,1268,,,1136.0,903.2,1316.0
08/04/2010,2.6,1347,823,1266,,,1145.3333333333333,911.6,1330.8
09/04/2010,0.0,1374,834,1270,,,1159.3333333333333,921.2,1353.2
10/04/2010,0.0,1391,848,1273,,,1170.6666666666667,933.0,1367.4
